step,parameter,expected,gridbox_datalayer,adobe_final_output,result
AddToCart,ga4_event_name,add_to_cart,add_to_cart,,PASS
AddToCart,product_id,TKT-MON-VIP,,,FAIL
AddToCart,product_price,1200,0,0,FAIL
AddToCart,currency,USD,USD,USD,PASS
AddToCart,product_name,,,,MATCH
AddToCart,product_category,,Product,Product,MATCH
AddToCart,product_quantity,,1,1,MATCH
AddToCart,cart_total,,0,0,MATCH
AddToCart,item_count,,1,1,MATCH
AddToCart,PageID,,MERCHANDISE,MERCHANDISE,MATCH
BeginCheckout,ga4_event_name,begin_checkout,begin_checkout,,PASS
BeginCheckout,currency,USD,USD,USD,PASS
BeginCheckout,cart_total,,0,0,MATCH
BeginCheckout,item_count,,1,1,MATCH
BeginCheckout,item_0_id,,,,MATCH
BeginCheckout,item_0_name,,,,MATCH
BeginCheckout,item_0_qty,,1,1,MATCH
BeginCheckout,item_0_price,,0,0,MATCH
Purchase,ga4_event_name,purchase,purchase,,PASS
Purchase,currency,USD,USD,USD,PASS
Purchase,transaction_id,,TXN_1782641314049,TXN_1782641314049,MATCH
Purchase,transaction_total,,0,0,MATCH
Purchase,transaction_tax,,0,0,MATCH
Purchase,transaction_shipping,,0,0,MATCH
Purchase,item_count,,1,1,MATCH
Purchase,item_0_id,,,,MATCH
Purchase,item_0_name,,,,MATCH
Purchase,item_0_qty,,1,1,MATCH
Purchase,item_0_price,,0,0,MATCH
